timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency
1473176459746,28,GET /scheduler/getContentCleanerJob,204,No Content,Standard User Load 1-1,true,,122,1,1,http://localhost:8080/pentaho/api/scheduler/getContentCleanerJob,0
1473176459774,20,GET /scheduler/getJobs,200,OK,Standard User Load 1-1,true,,7831,1,1,http://localhost:8080/pentaho/api/scheduler/getJobs,20
1473176459918,8,GET /scheduler/isScheduleAllowed,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/scheduler/isScheduleAllowed?id=0be566db-cb46-4677-880d-ea3918178fe3,8
1473176459927,123,POST /scheduler/job,200,OK,Standard User Load 1-1,true,,175,1,1,http://localhost:8080/pentaho/api/scheduler/job,123
1473176460055,7,GET /scheduler/jobinfo,200,OK,Standard User Load 1-1,true,,1343,1,1,http://localhost:8080/pentaho/api/scheduler/jobinfo?jobId=admin%09JobName%091473176460038,7
1473176460063,8,POST /scheduler/jobState,200,OK,Standard User Load 1-1,true,,153,1,1,http://localhost:8080/pentaho/api/scheduler/jobState,8
1473176460071,5,GET /scheduler/state,200,OK,Standard User Load 1-1,true,,154,1,1,http://localhost:8080/pentaho/api/scheduler/state,4
1473176460076,5,POST /scheduler/pause,200,OK,Standard User Load 1-1,true,,153,1,1,http://localhost:8080/pentaho/api/scheduler/pause,4
1473176460081,5,POST /scheduler/start,200,OK,Standard User Load 1-1,true,,154,1,1,http://localhost:8080/pentaho/api/scheduler/start,5
1473176460087,27,POST /scheduler/triggerNow,200,OK,Standard User Load 1-1,true,,153,1,1,http://localhost:8080/pentaho/api/scheduler/triggerNow,26
1473176460115,80,POST /scheduler/pauseJob,200,OK,Standard User Load 1-1,true,,153,1,1,http://localhost:8080/pentaho/api/scheduler/pauseJob,80
1473176460196,49,POST /scheduler/resumeJob,200,OK,Standard User Load 1-1,true,,153,1,1,http://localhost:8080/pentaho/api/scheduler/resumeJob,49
1473176460246,56,DELETE /scheduler/removeJob,200,OK,Standard User Load 1-1,true,,154,1,1,http://localhost:8080/pentaho/api/scheduler/removeJob,56
1473176460303,33,GET /users,200,OK,Standard User Load 1-1,true,,267,1,1,http://localhost:8080/pentaho/api/users,33
1473176460337,2,GET /mantle/isAdministrator,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/mantle/isAdministrator,2
1473176460340,1,GET /mantle/isAuthenticated,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/mantle/isAuthenticated,1
1473176460342,97,Logout,200,"Number of samples in transaction : 1, number of failing samples : 0",Standard User Load 1-1,true,,8720,1,1,null,0
1473176460440,5,GET /mantle/isAuthenticated (negative test),401,Unauthorized,Standard User Load 1-1,true,,1327,1,1,http://localhost:8080/pentaho/api/mantle/isAuthenticated,5
1473176460446,19,Login suzy,200,"Number of samples in transaction : 1, number of failing samples : 0",Standard User Load 1-1,true,,314,1,1,null,0
1473176460466,4,GET /mantle/isAdministrator,200,OK,Standard User Load 1-1,true,,152,1,1,http://localhost:8080/pentaho/api/mantle/isAdministrator,4
1473176460471,2,GET /mantle/isAuthenticated,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/mantle/isAuthenticated,1
1473176460473,14,Logout,200,"Number of samples in transaction : 1, number of failing samples : 0",Standard User Load 1-1,true,,8720,1,1,null,0
1473176460488,15,Logout,200,"Number of samples in transaction : 1, number of failing samples : 0",Standard User Load 1-1,true,,8720,1,1,null,0
